Title;Licensee;Released;Release Year;Release Month
Kings of the Beach;Ultra Soft;January 1990;1990;01
King's Quest V;Konami;June 1992;1992;06
Kirby's Adventure;Nintendo;May 1993;1993;05
Kiwi Kraze;Taito Software;March 1991;1991;03
KlashBall;Sofel;July 1991;1991;07
Knight Rider;Acclaim;December 1989;1989;12
Krion Conquest, The;Vic Tokai;January 1991;1991;01
Krusty's Funhouse;Acclaim;September 1992;1992;09
Kung Fu;Nintendo;October 1985;1985;10
Kung Fu Heroes;Culture Brain;March 1989;1989;03
Laser Invasion;Ultra Soft;June 1991;1991;06
Last Action Hero;Sony Imagesoft;October 1993;1993;10
Last Ninja, The;Jaleco;February 1991;1991;02
Last Starfighter, The;Mindscape;June 1990;1990;06
Lee Trevino's Fighting Golf;SNK;September 1988;1988;09
Legacy of the Wizard, The;Broderbund;April 1989;1989;04
Legend of Ghost Lion;Kemco;October 1992;1992;10
Legend of Kage, The;Taito Software;August 1987;1987;08
Legend of Zelda, The;Nintendo;July 1987;1987;07
Legendary Wings;Capcom;July 1988;1988;07
Legends of the Diamond;Bandai;January 1992;1992;01
Lemmings;Sunsoft;November 1992;1992;11
L'Empereur;Koei;November 1991;1991;11
Lethal Weapon;Ocean;April 1993;1993;04
Life Force;Konami;August 1988;1988;08
Little League Baseball: Championship Series;SNK;July 1990;1990;07
Little Mermaid, The;Capcom;July 1991;1991;07
Little Nemo: The Dream Master;Capcom;September 1990;1990;09
Little Ninja Brothers;Culture Brain;December 1990;1990;12
Little Samson;Taito Software;November 1992;1992;11
Lode Runner;Broderbund;September 1987;1987;09
Lone Ranger, The;Konami;August 1991;1991;08
LoopZ;Mindscape;October 1990;1990;10
Low G-Man;Taxan;September 1990;1990;09
Lunar Pool;FCI;October 1987;1987;10
M.C. Kids;Virgin Interactive;February 1992;1992;02
M.U.L.E.;Mindscape;September 1990;1990;09
M.U.S.C.L.E.;Bandai;October 1986;1986;10
Mach Rider;Nintendo;October 1985;1985;10
Mad Max;Mindscape;July 1990;1990;07
Mafat Conspiracy: Golgo 13 II, The;Vic Tokai;June 1990;1990;06
Magic Darts;Romstar;September 1991;1991;09
Magic Johnson's Fast Break;Tradewest;March 1990;1990;03
Magic of Scheherazade;Culture Brain;December 1989;1989;12
Magician;Taxan;February 1991;1991;02
Magmax;FCI;October 1988;1988;10
Major League Baseball;LJN;April 1988;1988;04
Maniac Mansion;Jaleco;September 1990;1990;09
Mappyland;Taxan;April 1989;1989;04
Marble Madness;Milton Bradley;March 1989;1989;03
Mario Bros.;Nintendo;June 1986;1986;06
Mario is Missing;Mindscape;July 1993;1993;07
Mario's Time Machine;Mindscape;June 1994;1994;06
Marvel's X-Men;LJN;December 1989;1989;12
Mechanized Attack;SNK;June 1990;1990;06
Mega Man;Capcom;December 1987;1987;12
Mega Man 2;Capcom;June 1989;1989;06
Mega Man 3;Capcom;November 1990;1990;11
Mega Man 4;Capcom;January 1992;1992;01
Mega Man 5;Capcom;December 1992;1992;12
Mega Man 6;Nintendo;March 1994;1994;03
Mendel Palace;Hudson Soft;October 1990;1990;10
Metal Gear;Ultra Soft;June 1988;1988;06
Metal Mech;Jaleco;March 1991;1991;03
Metal Storm;Irem;February 1991;1991;02
Metroid;Nintendo;August 1986;1986;08
Michael Andretti's World Grand Prix;American Sammy;June 1990;1990;06
Mickey Mousecapades;Capcom;October 1988;1988;10
Mickey's Adventures in Numberland;Hi-Tech;March 1994;1994;03
Mickey's Safari in Letterland;Hi-Tech;March 1993;1993;03
Might & Magic: Secret of the Inner Sanctum;American Sammy;August 1992;1992;08
Mighty Bomb Jack;Tecmo;July 1987;1987;07
Mighty Final Fight;Capcom;July 1993;1993;07
Millipede;Hal America;October 1988;1988;10
Milon's Secret Castle;Hudson Soft;September 1988;1988;09
Mission: Impossible;Ultra Soft;September 1990;1990;09
Monopoly;Parker Brothers;May 1991;1991;05
Monster in My Pocket;Konami;January 1992;1992;01
